Country,Area,Protected Area (%),GDP,Continent
Afghanistan,652860,0.104707035,502.1154869,Asia
Angola,1246700,6.971426696,2973.59116,Africa
Albania,28750,17.73609531,5352.857411,Europe
Andorra,470,26.72772478,40886.39116,Europe
Arab World,11273300.99,5.787351816,6580.056257,Asia
United Arab Emirates,83600,17.95492064,43103.32306,Asia
Argentina,2780400,8.808251416,10006.14897,South America
Armenia,29740,23.11050281,4622.733493,Asia
Antigua and Barbuda,440,18.56967369,17790.30931,North America
Australia,7741220,19.26562231,54907.10191,Oceania
Austria,83879.00391,28.39798166,50277.27509,Europe
Azerbaijan,86600,10.15512562,4793.58702,Asia
Burundi,27830,7.591471706,261.2474725,Africa
Belgium,30530,23.29334293,46116.69923,Europe
Benin,114760,29.6233712,1219.432672,Africa
Burkina Faso,274220,14.92288055,774.8396902,Africa
Bangladesh,147630,4.605962812,1855.739824,Asia
Bulgaria,111000,34.70358012,9737.601351,Europe
Bahrain,778.0000305,6.621747813,23503.97713,Asia
"Bahamas, The",13880,36.63364753,32933.48601,North America
Bosnia and Herzegovina,51210,1.395501571,6073.265203,Europe
Belarus,207600,9.353493353,6663.295293,Europe
Belize,22970,37.67936557,4815.163711,North America
Bolivia,1098580,30.8654915,3552.068762,South America
Brazil,8515770,29.41966767,8717.186278,South America
Barbados,430,1.270108194,18148.24493,North America
Brunei Darussalam,5770,46.87211976,31086.75108,Asia
Botswana,581730,29.14323742,7961.33814,Africa
Central African Republic,622980,18.06482422,467.9074406,Africa
Canada,9984670,9.685573936,46194.72523,North America
Central Europe and the Baltics,1135391.001,30.16553095,16184.33201,Europe
Switzerland,41290.40039,9.665184261,81993.72715,Europe
Chile,756700,18.49445424,14896.45387,South America
China,9562910,15.44904196,10261.67913,Asia
Cote d'Ivoire,322460,22.88466348,2286.162777,Africa
Cameroon,475440,10.60054641,1497.909176,Africa
"Congo, Dem. Rep.",2344860,13.83326047,545.2162123,Africa
"Congo, Rep.",342000,40.73803678,2011.072399,Africa
Colombia,1141748.984,14.80695582,6432.387583,South America
Comoros,1861.000061,10.15143427,1393.522372,Africa
Cabo Verde,4030,2.895240389,3603.781794,Africa
Costa Rica,51100,27.60269532,12238.37496,North America
Caribbean small states,434990,13.82233985,10307.58628,North America
Cyprus,9250,18.6504409,27858.371,Europe
Czech Republic,78870,22.155676,23101.7777,Europe
Germany,357580,37.75192302,46258.87829,Europe
Djibouti,23200,1.574645925,3408.846254,Africa
Dominica,750,21.98682446,8300.375074,North America
Denmark,42920,18.10202119,59822.09296,Europe
Dominican Republic,48670,26.23675188,8282.116222,North America
Algeria,2381740,7.495060028,3948.343279,Africa
East Asia & Pacific (excluding high income),16272855,14.56081947,8222.07773,Asia
East Asia & Pacific,24827743.4,16.479742,11526.73649,Asia
Europe & Central Asia (excluding high income),23235211.88,8.396132308,8110.721448,Europe
Europe & Central Asia,28691030.98,11.67033705,24696.33961,Europe
Ecuador,256370,21.68611893,6183.823825,South America
"Egypt, Arab Rep.",1001450,13.13605538,3020.03135,Africa
Euro area,2759787.593,25.80343952,38925.66511,Europe
Eritrea,117600,4.872390939,,Africa
Spain,505935,28.06563365,29613.67114,Europe
Estonia,45340,20.21847482,23659.87229,Europe
Ethiopia,1104300,18.47496031,857.501351,Africa
European Union,4140707.593,25.77908927,34843.29747,Asia
Finland,338450,15.0232916,48685.85399,Europe
Fiji,18270,5.411196875,6220.046421,Oceania
France,549086.9922,25.791966,40493.92857,Europe
Gabon,267670,22.44275606,7667.366861,Africa
United Kingdom,243610,28.68343728,42300.26713,Europe
Georgia,69700,8.333597154,4769.186543,Asia
Ghana,238540,15.0573798,2202.115567,Africa
Guinea,245860,35.64619399,1064.131237,Africa
"Gambia, The",11300,4.107362074,751.2946884,Africa
Guinea-Bissau,36130,16.66265356,697.7844029,Africa
Equatorial Guinea,28050,19.26675895,8131.923888,Africa
Greece,131960,35.21634086,19582.53601,Europe
Grenada,340,9.777508173,10965.51316,North America
Guatemala,108890,20.04787908,4619.987097,North America
Guyana,214970,8.737486809,5468.356629,South America
"Hong Kong SAR, China",1110,41.88368037,48755.83508,Asia
Honduras,112490,23.88555226,2574.912191,North America
Croatia,56590,38.25363021,14853.23984,Europe
Haiti,27750,1.949882981,754.5879177,North America
Hungary,93030,22.59755816,16475.74184,Europe
India,3287259.063,5.966519402,2104.1459,Asia
Ireland,70280,14.44126185,78660.95646,Europe
Iraq,435051.9922,1.533412118,5955.10901,Asia
Iceland,103000,18.15153229,66944.82551,Europe
Israel,22070,19.94659908,43641.39774,Asia
Italy,301340,21.53905961,33189.5658,Europe
Jamaica,10990,15.91651353,5582.263778,North America
Jordan,89320,1.770578642,4330.329346,Asia
Japan,377970,29.38753863,40246.88013,Asia
Kazakhstan,2724901.875,3.312085662,9731.145207,Asia
Kenya,580370,12.36335962,1816.546916,Africa
Kyrgyz Republic,199950,6.702692983,1309.392992,Asia
Cambodia,181040,26.0277161,1643.121389,Asia
Kiribati,810,22.36041349,1655.078839,Oceania
St. Kitts and Nevis,260,3.316634717,19896.4957,North America
"Korea, Rep.",100339.0039,11.671125,31761.97769,Asia
Kuwait,17820,17.50067696,32031.9801,Asia
Lao PDR,236800,16.68220563,2534.898277,Asia
Lebanon,10450,2.597308624,7784.316857,Asia
Liberia,111370,4.051310925,621.8929536,Africa
Libya,1759540,0.211847868,7683.750611,Africa
St. Lucia,620,18.74520959,11611.41545,North America
Sri Lanka,65610,29.8619989,3853.083693,Asia
Lesotho,30360,0.261388681,1157.535164,Africa
Lithuania,65286.00098,17.02310098,19455.45413,Europe
Luxembourg,2590,40.87274138,114704.5942,Europe
Latvia,64490,18.17132119,17836.36489,Europe
Morocco,446550,30.77760111,3204.095003,Africa
Moldova,33850,4.150534549,4498.52085,Europe
Madagascar,587295,5.589556315,522.2198092,Africa
Maldives,300,1.209095677,10790.50024,Asia
Middle East & North Africa,11370619.99,6.71687982,8104.501888,Asia
Mexico,1964375,14.5005326,9863.072699,North America
North Macedonia,25710,9.654065158,6093.14769,Europe
Mali,1240190,8.231610055,890.7372855,Africa
Malta,320,30.28637583,29416.23061,Europe
Myanmar,676590,6.37050102,1407.813143,Asia
Montenegro,13810,6.400711029,8832.036836,Europe
Mongolia,1564120,17.71388257,4295.235025,Asia
Mozambique,786380,21.59322824,491.8047231,Africa
Mauritania,1030700,0.621988214,1677.919253,Africa
Mauritius,2040,4.725388813,11203.54058,Africa
Malawi,118480,22.87604771,411.5523404,Africa
Malaysia,330345,19.11931656,11414.83766,Asia
North America,19820470,11.32493655,63181.79576,North America
Namibia,824290,37.89093103,4957.458006,Africa
Niger,1267000,17.31709252,554.6009687,Africa
Nigeria,923770,13.92958361,2229.858696,Africa
Nicaragua,130370,37.22586793,1912.903745,North America
Netherlands,41540,11.24373445,52447.83144,Europe
Norway,625217.1094,17.10649287,75419.63487,Europe
Nepal,147180,23.62604198,1071.050761,Asia
New Zealand,267710,32.54525586,42084.35337,Oceania
Oman,309500,2.572733181,15474.03248,Asia
Pakistan,796100,12.31458528,1284.702041,Asia
Panama,75420,20.89193998,15731.01603,North America
Peru,1285220,21.31417279,6977.695784,South America
Philippines,300000,15.31665932,3485.084218,Asia
Papua New Guinea,462840,3.065929904,2845.180186,Oceania
Poland,312680,39.65013953,15595.22703,Europe
Puerto Rico,8870,7.269164906,32873.71927,North America
